IdReparacion,IdMoto,IdUsuario,Descripcion,Estado,FechaInicio,FechaFin,Total,Fase,Marca,Modelo,UsuarioNombre,cliente,CategoriaCliente
18,3434,220,diagnostico y reparacion de audio y chip incluyendo ajuste final.,Finalizado,2026-03-27 00:00:00,2026-03-31 00:00:00,814,Entregado,TVS,GN125,Jose Ramirez,Cliente_498,Normal
19,2447,786,diagnostico y reparacion de chasis y bomba de agua por falla detectada.,Finalizado,2026-03-23 00:00:00,2026-03-26 00:00:00,656,Entregado,Honda,Gixxer 250,Jose Ramirez,Cliente_385,Normal
20,4196,4672,correccion especializada de filtro de aceite y balanceo y verificacion completa.,Finalizado,2026-03-08 00:00:00,2026-03-09 00:00:00,667,Cliente informado,Honda,NKD 125,Jose Ramirez,Cliente_428,Normal
21,2848,4660,correccion especializada de ciguenal y carroceria con pruebas posteriores.,Finalizado,2026-03-22 00:00:00,2026-03-25 00:00:00,4194,Cliente informado,Honda,GSX-R750,Jose Ramirez,Cliente_497,Normal
22,231,1844,instalacion y calibracion de cambio de aceite y alineacion debido a desgaste.,Finalizado,2026-03-18 00:00:00,2026-03-21 00:00:00,780,Cliente informado,Italika,Apache RTR 200,Jose Ramirez,Cliente_177,En Riesgo
23,231,1844,instalacion y calibracion de cambio de aceite y alineacion debido a desgaste.,Finalizado,2026-03-18 00:00:00,2026-03-21 00:00:00,780,Cliente informado,Italika,Apache RTR 200,Jose Ramirez,Cliente_291,Normal
24,1285,565,revision completa de radiador y chasis por falla detectada.,Finalizado,2026-03-06 00:00:00,2026-02-24 00:00:00,6410,Entregado,Suzuki,NKD 125,Carlos Mendoza,Cliente_480,Normal
25,3293,1184,inspeccion avanzada de arbol de levas y pistones y verificacion completa.,Finalizado,2026-03-14 00:00:00,2026-03-15 00:00:00,5280,Cliente informado,Yamaha,CBR 600RR,Jose Ramirez,Cliente_303,Normal
26,3163,2619,mantenimiento preventivo en evaluacion y falla por falla detectada.,Finalizado,2026-03-28 00:00:00,2026-03-30 00:00:00,6486,Cliente informado,Kawasaki,Ninja 400,Carlos Mendoza,Cliente_497,Normal
27,4823,1916,instalacion y calibracion de bujias y alineacion por falla detectada.,Finalizado,2026-03-15 00:00:00,2026-03-16 00:00:00,2414,Entregado,AKT,NKD 125,Carlos Mendoza,Cliente_150,En Riesgo
28,4409,5122,servicio integral para escaneo y escaneo y verificacion completa.,Finalizado,2026-03-24 00:00:00,2026-03-25 00:00:00,2507,Entregado,Kawasaki,GN125,Carlos Mendoza,Cliente_431,Normal
29,315,3035,mantenimiento preventivo en evaluacion y chequeo debido a desgaste.,Finalizado,2026-03-07 00:00:00,2026-03-10 00:00:00,3000,Entregado,KTM,GSX-R750,Carlos Mendoza,Cliente_366,Normal
30,2527,2575,ajuste tecnico de diagnostico y inspeccion con pruebas posteriores.,Finalizado,2026-03-16 00:00:00,2026-03-18 00:00:00,683,Entregado,Suzuki,RC 200,Jose Ramirez,Cliente_454,Normal
31,1066,2938,optimizacion del sistema modificacion y potencia con pruebas posteriores.,Finalizado,2026-03-27 00:00:00,2026-03-27 00:00:00,3380,Entregado,Yamaha,R15,Jose Ramirez,Cliente_008,VIP
32,925,4821,optimizacion del sistema filtro de aceite y lubricacion y verificacion completa.,Finalizado,2026-03-05 00:00:00,2026-03-08 00:00:00,3642,Cliente informado,Suzuki,XR150L,Carlos Mendoza,Cliente_208,Normal
33,4351,3126,ajuste tecnico de alineacion y bujias con pruebas posteriores.,Finalizado,2026-03-19 00:00:00,2026-03-20 00:00:00,3948,Cliente informado,Kawasaki,XR150L,Carlos Mendoza,Cliente_290,Normal
34,844,4307,revision completa de custom y custom incluyendo ajuste final.,Finalizado,2026-03-02 00:00:00,2026-03-06 00:00:00,2468,Cliente informado,Bajaj,FT150,Carlos Mendoza,Cliente_303,Normal
35,3762,611,revision completa de bujias y bujias por falla detectada.,Finalizado,2026-03-13 00:00:00,2026-03-16 00:00:00,2109,Entregado,Kawasaki,Duke 390,Jose Ramirez,Cliente_434,Normal
36,985,2061,revision completa de evaluacion y problema y verificacion completa.,Finalizado,2026-03-02 00:00:00,2026-03-04 00:00:00,2578,Cliente informado,Honda,XR150L,Jose Ramirez,Cliente_236,Normal
37,4645,1560,mantenimiento preventivo en frenos y transmision debido a desgaste.,Finalizado,2026-03-15 00:00:00,2026-03-16 00:00:00,4783,Cliente informado,Yamaha,CBR 600RR,Carlos Mendoza,Cliente_326,Normal
38,3894,1817,instalacion y calibracion de pistones y chasis por falla detectada.,En proceso,2026-03-20 00:00:00,2026-03-22 00:00:00,3208,Cliente informado,Honda,GSX-R750,Carlos Mendoza,Cliente_007,VIP
39,902,5131,ajuste tecnico de radiador y carroceria para mejorar rendimiento.,Finalizado,2026-03-25 00:00:00,2026-03-26 00:00:00,3105,Cliente informado,Suzuki,Gixxer 250,Carlos Mendoza,Cliente_263,Normal
40,3870,5192,instalacion y calibracion de aleron y kit aerodinamico incluyendo ajuste final.,Finalizado,2026-03-05 00:00:00,2026-03-08 00:00:00,1021,Entregado,Bajaj,Pulsar NS200,Carlos Mendoza,Cliente_368,Normal
41,3061,4503,optimizacion del sistema eje y diferencial con pruebas posteriores.,Finalizado,2026-03-21 00:00:00,2026-03-22 00:00:00,2705,Cliente informado,TVS,XR150L,Carlos Mendoza,Cliente_324,Normal
42,1344,3238,instalacion y calibracion de camara y actualizacion de software para mejorar rendimiento.,Finalizado,2026-03-07 00:00:00,2026-03-08 00:00:00,3665,Entregado,Italika,XR150L,Carlos Mendoza,Cliente_001,VIP
43,1920,4634,diagnostico y reparacion de amortiguadores y diferencial incluyendo ajuste final.,Finalizado,2026-03-10 00:00:00,2026-03-14 00:00:00,4362,Entregado,Honda,Boxer 150,Jose Ramirez,Cliente_435,Normal
44,1285,565,servicio integral para filtro de aceite y niveles con pruebas posteriores.,Finalizado,2026-03-06 00:00:00,2026-02-24 00:00:00,4010,Entregado,Yamaha,Duke 390,Jose Ramirez,Cliente_104,En Riesgo
45,4271,3014,optimizacion del sistema chip y sensores de estacionamiento por falla detectada.,Finalizado,2026-03-26 00:00:00,2026-03-28 00:00:00,1784,Cliente informado,AKT,Z650,Carlos Mendoza,Cliente_473,Normal
46,1274,4766,servicio integral para filtro de aire y revision por falla detectada.,Finalizado,2026-03-09 00:00:00,2026-03-09 00:00:00,3519,Entregado,AKT,Z650,Jose Ramirez,Cliente_001,VIP
47,2792,791,optimizacion del sistema chequeo y bujias debido a desgaste.,Finalizado,2026-03-27 00:00:00,2026-03-28 00:00:00,5336,Entregado,TVS,NKD 125,Carlos Mendoza,Cliente_297,Normal
48,1946,4566,inspeccion avanzada de revision general y diagnostico incluyendo ajuste final.,Finalizado,2026-03-12 00:00:00,2026-03-14 00:00:00,4142,Entregado,Kawasaki,Apache RTR 200,Carlos Mendoza,Cliente_241,Normal
49,2968,936,servicio integral para falla y problema por falla detectada.,Finalizado,2026-03-12 00:00:00,2026-03-13 00:00:00,756,Entregado,Bajaj,FT150,Jose Ramirez,Cliente_127,En Riesgo
50,4471,257,optimizacion del sistema eje y bomba de agua segun solicitud del cliente.,Finalizado,2026-03-15 00:00:00,2026-03-17 00:00:00,5062,Entregado,Suzuki,Z650,Jose Ramirez,Cliente_184,En Riesgo
51,4788,3133,optimizacion del sistema lubricacion y lubricacion y verificacion completa.,Finalizado,2026-03-18 00:00:00,2026-03-20 00:00:00,5247,Cliente informado,Italika,MT-07,Carlos Mendoza,Cliente_251,Normal
52,3604,4644,diagnostico y reparacion de modificacion y pintura segun solicitud del cliente.,Finalizado,2026-03-06 00:00:00,2026-03-07 00:00:00,3748,Cliente informado,Italika,Gixxer 250,Carlos Mendoza,Cliente_432,Normal
53,886,12,servicio integral para bateria y sistema electrico y verificacion completa.,Finalizado,2026-03-03 00:00:00,2026-03-03 00:00:00,1169,Entregado,TVS,Boxer 150,Carlos Mendoza,Cliente_305,Normal
54,990,4098,revision completa de filtro de aire y bujias y verificacion completa.,Finalizado,2026-03-07 00:00:00,2026-03-07 00:00:00,2451,Entregado,Italika,NKD 125,Jose Ramirez,Cliente_427,Normal
55,4610,3782,mantenimiento preventivo en sensores de estacionamiento y kit aerodinamico segun solicitud del cliente.,Finalizado,2026-03-29 00:00:00,2026-04-02 00:00:00,4807,Entregado,Suzuki,GN125,Carlos Mendoza,Cliente_223,Normal
56,2325,3308,mantenimiento preventivo en problema y escaneo debido a desgaste.,Finalizado,2026-03-23 00:00:00,2026-03-26 00:00:00,4213,Entregado,Suzuki,FZ16,Jose Ramirez,Cliente_419,Normal
57,4477,1264,instalacion y calibracion de filtro de aceite y niveles por falla detectada.,Entregado,2026-03-14 00:00:00,2026-03-18 00:00:00,5702,Cliente informado,Yamaha,XR150L,Carlos Mendoza,Cliente_224,Normal
58,4522,4978,instalacion y calibracion de camara y reprogramacion y verificacion completa.,Finalizado,2026-03-11 00:00:00,2026-03-11 00:00:00,606,Entregado,TVS,R15,Jose Ramirez,Cliente_487,Normal
59,2200,479,ajuste tecnico de cambio de aceite y filtro de aceite incluyendo ajuste final.,Finalizado,2026-03-07 00:00:00,2026-02-25 00:00:00,3806,Cliente informado,Suzuki,Pulsar NS200,Carlos Mendoza,Cliente_202,Normal
60,3315,1733,instalacion y calibracion de tuning y suspension deportiva segun solicitud del cliente.,Finalizado,2026-03-02 00:00:00,2026-03-06 00:00:00,964,Cliente informado,Yamaha,FT150,Carlos Mendoza,Cliente_203,Normal
61,805,2413,diagnostico y reparacion de bomba de agua y motor incluyendo ajuste final.,Finalizado,2026-03-26 00:00:00,2026-03-28 00:00:00,4723,Entregado,Yamaha,CBR 600RR,Carlos Mendoza,Cliente_069,En Riesgo
62,2553,1018,servicio integral para filtro de aire y chequeo con pruebas posteriores.,Finalizado,2026-03-04 00:00:00,2026-03-08 00:00:00,1248,Cliente informado,AKT,Ninja 400,Jose Ramirez,Cliente_420,Normal
63,3852,1984,ajuste tecnico de revision general y test por falla detectada.,Finalizado,2026-03-11 00:00:00,2026-03-15 00:00:00,1412,Entregado,Bajaj,Duke 390,Carlos Mendoza,Cliente_345,Normal
64,3366,3626,optimizacion del sistema filtro de aceite y bujias segun solicitud del cliente.,Finalizado,2026-03-09 00:00:00,2026-03-09 00:00:00,1782,Cliente informado,Yamaha,DM200,Carlos Mendoza,Cliente_003,VIP
65,5,55,diagnostico y reparacion de filtro de aire y niveles por falla detectada.,Finalizado,2026-03-11 00:00:00,2026-03-14 00:00:00,3181,Entregado,AKT,MT-07,Jose Ramirez,Cliente_083,En Riesgo
66,800,3519,servicio integral para cambio de aceite y lubricacion por falla detectada.,Finalizado,2026-03-08 00:00:00,2026-03-10 00:00:00,5380,Entregado,Yamaha,DM200,Carlos Mendoza,Cliente_429,Normal
67,3590,2974,inspeccion avanzada de fallo electrico y luces para mejorar rendimiento.,Finalizado,2026-03-29 00:00:00,2026-04-02 00:00:00,2914,Entregado,Suzuki,Apache RTR 200,Carlos Mendoza,Cliente_212,Normal
68,1013,2426,instalacion y calibracion de filtro de aire y bujias incluyendo ajuste final.,Finalizado,2026-03-20 00:00:00,2026-03-22 00:00:00,953,Cliente informado,Yamaha,Apache RTR 200,Carlos Mendoza,Cliente_491,Normal
69,1988,1627,diagnostico y reparacion de diferencial y ciguenal incluyendo ajuste final.,Finalizado,2026-03-29 00:00:00,2026-03-30 00:00:00,3094,Cliente informado,Honda,Z650,Jose Ramirez,Cliente_351,Normal
70,2516,3208,ajuste tecnico de calipers y tuning por falla detectada.,Finalizado,2026-03-20 00:00:00,2026-03-23 00:00:00,4338,Entregado,Bajaj,Pulsar NS200,Carlos Mendoza,Cliente_216,Normal
71,3420,2400,mantenimiento preventivo en luces led y pintura debido a desgaste.,Finalizado,2026-03-13 00:00:00,2026-03-14 00:00:00,2919,Entregado,Suzuki,FZ16,Jose Ramirez,Cliente_316,Normal
72,3754,4308,instalacion y calibracion de test y evaluacion para mejorar rendimiento.,Finalizado,2026-03-03 00:00:00,2026-03-03 00:00:00,756,Cliente informado,Italika,Ninja 400,Jose Ramirez,Cliente_033,En Riesgo
73,1064,4365,mantenimiento preventivo en revision general y falla debido a desgaste.,Finalizado,2026-02-28 00:00:00,2026-03-04 00:00:00,1987,Entregado,Kawasaki,Z650,Carlos Mendoza,Cliente_245,Normal
74,3419,3398,instalacion y calibracion de bomba de agua y carroceria y verificacion completa.,Finalizado,2026-03-27 00:00:00,2026-03-27 00:00:00,3187,Entregado,Kawasaki,Duke 390,Jose Ramirez,Cliente_217,Normal
75,3705,3860,ajuste tecnico de motor de arranque y bateria por falla detectada.,Finalizado,2026-03-04 00:00:00,2026-03-05 00:00:00,2189,Entregado,Yamaha,Apache RTR 200,Carlos Mendoza,Cliente_218,Normal
76,4823,1916,optimizacion del sistema chasis y embrague con pruebas posteriores.,Finalizado,2026-03-15 00:00:00,2026-03-16 00:00:00,1526,Entregado,Yamaha,R15,Carlos Mendoza,Cliente_429,Normal
77,3938,1211,mantenimiento preventivo en cableado y centralita debido a desgaste.,Finalizado,2026-03-08 00:00:00,2026-02-26 00:00:00,3186,Entregado,Suzuki,Apache RTR 200,Jose Ramirez,Cliente_049,En Riesgo
78,3188,4791,servicio integral para falla y escaneo con pruebas posteriores.,Finalizado,2026-03-21 00:00:00,2026-03-25 00:00:00,4826,Cliente informado,Suzuki,CBR 600RR,Carlos Mendoza,Cliente_370,Normal
79,4317,5047,correccion especializada de camara y pintura y verificacion completa.,Finalizado,2026-03-17 00:00:00,2026-03-18 00:00:00,5826,Cliente informado,AKT,NKD 125,Carlos Mendoza,Cliente_443,Normal
80,4801,4467,correccion especializada de vinilado y cromado incluyendo ajuste final.,Finalizado,2026-03-17 00:00:00,2026-03-07 00:00:00,3891,Cliente informado,Suzuki,GSX-R750,Jose Ramirez,Cliente_156,En Riesgo
81,1988,1627,diagnostico y reparacion de diferencial y ciguenal incluyendo ajuste final.,Finalizado,2026-03-29 00:00:00,2026-03-30 00:00:00,3094,Cliente informado,Honda,Z650,Jose Ramirez,Cliente_463,Normal
82,3886,418,optimizacion del sistema sensores y sensores debido a desgaste.,Finalizado,2026-03-18 00:00:00,2026-03-22 00:00:00,3692,Cliente informado,Italika,XR150L,Jose Ramirez,Cliente_047,En Riesgo
83,2723,3492,mantenimiento preventivo en centralita y fallo electrico por falla detectada.,En proceso,2026-03-05 00:00:00,2026-03-06 00:00:00,5598,Cliente informado,Italika,FZ16,Carlos Mendoza,Cliente_318,Normal
84,251,4162,instalacion y calibracion de bujias y filtro de aceite y verificacion completa.,Finalizado,2026-03-08 00:00:00,2026-02-26 00:00:00,787,Entregado,KTM,FT150,Jose Ramirez,Cliente_257,Normal
85,739,2603,mantenimiento preventivo en diferencial y bomba de agua debido a desgaste.,Finalizado,2026-03-29 00:00:00,2026-03-29 00:00:00,2181,Cliente informado,Suzuki,GSX-R750,Carlos Mendoza,Cliente_337,Normal
86,4146,1331,inspeccion avanzada de fallo electrico y motor de arranque debido a desgaste.,Finalizado,2026-03-04 00:00:00,2026-03-06 00:00:00,5803,Entregado,Honda,Pulsar NS200,Carlos Mendoza,Cliente_228,Normal
87,4421,3643,revision completa de motor de arranque y sistema electrico y verificacion completa.,Finalizado,2026-02-28 00:00:00,2026-03-04 00:00:00,4241,Cliente informado,Yamaha,FT150,Jose Ramirez,Cliente_235,Normal
88,4860,2387,optimizacion del sistema niveles y filtro de aceite con pruebas posteriores.,Finalizado,2026-03-20 00:00:00,2026-03-21 00:00:00,1768,Cliente informado,Yamaha,Duke 390,Jose Ramirez,Cliente_222,Normal
89,1317,4365,ajuste tecnico de alternador y luces con pruebas posteriores.,Finalizado,2026-03-22 00:00:00,2026-03-22 00:00:00,4231,Cliente informado,Kawasaki,Boxer 150,Jose Ramirez,Cliente_460,Normal
90,1069,3715,servicio integral para camara y luces led segun solicitud del cliente.,Finalizado,2026-03-08 00:00:00,2026-03-12 00:00:00,4127,Entregado,KTM,Ninja 400,Carlos Mendoza,Cliente_413,Normal
91,756,3657,inspeccion avanzada de carroceria y direccion y verificacion completa.,Finalizado,2026-03-07 00:00:00,2026-03-09 00:00:00,3677,Cliente informado,Honda,RC 200,Carlos Mendoza,Cliente_400,Normal
92,4610,3782,optimizacion del sistema filtro de aceite y balanceo incluyendo ajuste final.,Finalizado,2026-03-29 00:00:00,2026-04-02 00:00:00,2868,Entregado,Honda,NKD 125,Jose Ramirez,Cliente_419,Normal
93,4351,3126,ajuste tecnico de pistones y biela con pruebas posteriores.,Finalizado,2026-03-19 00:00:00,2026-03-20 00:00:00,5038,Cliente informado,Kawasaki,Pulsar NS200,Carlos Mendoza,Cliente_470,Normal
94,1916,3153,optimizacion del sistema eje y distribucion por falla detectada.,Finalizado,2026-02-28 00:00:00,2026-03-02 00:00:00,6315,Cliente informado,Suzuki,CBR 600RR,Carlos Mendoza,Cliente_058,En Riesgo
95,3314,2099,inspeccion avanzada de cableado y fallo electrico incluyendo ajuste final.,Finalizado,2026-03-22 00:00:00,2026-03-25 00:00:00,5893,Entregado,AKT,Ninja 400,Jose Ramirez,Cliente_228,Normal
96,551,969,mantenimiento preventivo en cableado y encendido por falla detectada.,Finalizado,2026-03-18 00:00:00,2026-03-08 00:00:00,2214,Cliente informado,TVS,Gixxer 250,Jose Ramirez,Cliente_254,Normal
97,2297,2569,inspeccion avanzada de niveles y filtro de aceite y verificacion completa.,Finalizado,2026-03-03 00:00:00,2026-03-03 00:00:00,1070,Cliente informado,Suzuki,NKD 125,Carlos Mendoza,Cliente_468,Normal
98,74,1383,optimizacion del sistema falla y chequeo incluyendo ajuste final.,Finalizado,2026-03-09 00:00:00,2026-03-11 00:00:00,6442,Cliente informado,Suzuki,Duke 390,Carlos Mendoza,Cliente_415,Normal
99,3156,4101,inspeccion avanzada de problema y revision general incluyendo ajuste final.,Finalizado,2026-03-08 00:00:00,2026-03-12 00:00:00,6452,Entregado,KTM,Z650,Carlos Mendoza,Cliente_404,Normal
100,135,606,instalacion y calibracion de turbo y escape deportivo segun solicitud del cliente.,Finalizado,2026-03-14 00:00:00,2026-03-15 00:00:00,599,Entregado,Suzuki,CB190R,Carlos Mendoza,Cliente_392,Normal
101,3570,2827,correccion especializada de inspeccion y chequeo debido a desgaste.,Finalizado,2026-03-17 00:00:00,2026-03-21 00:00:00,665,Cliente informado,KTM,FZ16,Carlos Mendoza,Cliente_030,En Riesgo
102,1393,12,servicio integral para chequeo y filtro de aceite debido a desgaste.,Entregado,2026-03-15 00:00:00,2026-03-15 00:00:00,3599,Cliente informado,Honda,XR150L,Carlos Mendoza,Cliente_306,Normal
103,1861,1289,revision completa de alineacion y filtro de aire incluyendo ajuste final.,Finalizado,2026-03-25 00:00:00,2026-03-28 00:00:00,4955,Entregado,Bajaj,RC 200,Carlos Mendoza,Cliente_301,Normal
104,3672,2900,diagnostico y reparacion de diferencial y amortiguadores segun solicitud del cliente.,Finalizado,2026-03-17 00:00:00,2026-03-20 00:00:00,5627,Cliente informado,Yamaha,Duke 390,Jose Ramirez,Cliente_425,Normal
105,1542,3918,instalacion y calibracion de balanceo y filtro de aceite con pruebas posteriores.,En proceso,2026-03-18 00:00:00,2026-03-20 00:00:00,3846,Cliente informado,Suzuki,Pulsar NS200,Carlos Mendoza,Cliente_375,Normal
106,3185,2721,inspeccion avanzada de escaneo y problema debido a desgaste.,Entregado,2026-03-22 00:00:00,2026-03-26 00:00:00,2168,Entregado,Honda,DM200,Jose Ramirez,Cliente_170,En Riesgo
107,1946,4566,correccion especializada de carroceria y diferencial para mejorar rendimiento.,Finalizado,2026-03-12 00:00:00,2026-03-14 00:00:00,4064,Entregado,AKT,XR150L,Carlos Mendoza,Cliente_139,En Riesgo
108,1752,4569,servicio integral para cambio de aceite y filtro de aceite segun solicitud del cliente.,Finalizado,2026-03-17 00:00:00,2026-03-21 00:00:00,6465,Entregado,KTM,FZ16,Jose Ramirez,Cliente_416,Normal
109,3531,4342,mantenimiento preventivo en encendido y encendido con pruebas posteriores.,Finalizado,2026-02-28 00:00:00,2026-02-28 00:00:00,658,Entregado,Italika,FZ16,Carlos Mendoza,Cliente_466,Normal
110,3282,925,correccion especializada de radiador y radiador debido a desgaste.,Finalizado,2026-03-19 00:00:00,2026-03-19 00:00:00,6093,Cliente informado,Bajaj,Boxer 150,Carlos Mendoza,Cliente_188,En Riesgo
111,2527,2575,inspeccion avanzada de pintura y sensores de estacionamiento incluyendo ajuste final.,Finalizado,2026-03-16 00:00:00,2026-03-18 00:00:00,6112,Entregado,Honda,Ninja 400,Carlos Mendoza,Cliente_324,Normal
112,3813,4236,inspeccion avanzada de chequeo y bujias para mejorar rendimiento.,Finalizado,2026-03-02 00:00:00,2026-02-20 00:00:00,1459,Entregado,Honda,Gixxer 250,Jose Ramirez,Cliente_372,Normal
113,695,4490,optimizacion del sistema turbo y actualizacion de software y verificacion completa.,Finalizado,2026-03-17 00:00:00,2026-03-07 00:00:00,3935,Cliente informado,Honda,CBR 600RR,Jose Ramirez,Cliente_264,Normal
114,3894,1817,instalacion y calibracion de pistones y chasis por falla detectada.,En proceso,2026-03-20 00:00:00,2026-03-22 00:00:00,3208,Cliente informado,Honda,GSX-R750,Carlos Mendoza,Cliente_064,En Riesgo
115,863,2202,instalacion y calibracion de centralita y cableado por falla detectada.,En proceso,2026-03-22 00:00:00,2026-03-24 00:00:00,4058,Cliente informado,Suzuki,Pulsar NS200,Jose Ramirez,Cliente_448,Normal
116,3504,1781,inspeccion avanzada de filtro de aceite y filtro de aceite para mejorar rendimiento.,Finalizado,2026-03-27 00:00:00,2026-03-27 00:00:00,3887,Cliente informado,Honda,GN125,Jose Ramirez,Cliente_266,Normal
117,4313,2663,ajuste tecnico de radiador y direccion por falla detectada.,Finalizado,2026-03-17 00:00:00,2026-03-17 00:00:00,5827,Entregado,Yamaha,RC 200,Carlos Mendoza,Cliente_408,Normal
118,1304,1900,revision completa de inspeccion y revision general con pruebas posteriores.,Finalizado,2026-03-01 00:00:00,2026-03-04 00:00:00,4814,Entregado,Kawasaki,GN125,Carlos Mendoza,Cliente_030,En Riesgo
119,2997,3553,instalacion y calibracion de pantalla y potencia con pruebas posteriores.,Finalizado,2026-03-18 00:00:00,2026-03-18 00:00:00,4195,Cliente informado,Honda,GSX-R750,Jose Ramirez,Cliente_188,En Riesgo
120,4980,2673,mantenimiento preventivo en pistones y bomba de agua y verificacion completa.,Finalizado,2026-02-28 00:00:00,2026-03-04 00:00:00,3530,Entregado,Honda,Boxer 150,Jose Ramirez,Cliente_267,Normal
121,2353,2595,ajuste tecnico de alternador y luces por falla detectada.,Finalizado,2026-03-10 00:00:00,2026-03-11 00:00:00,5318,Entregado,Yamaha,GSX-R750,Carlos Mendoza,Cliente_391,Normal
122,3979,4752,revision completa de diagnostico y chequeo con pruebas posteriores.,Finalizado,2026-03-18 00:00:00,2026-03-21 00:00:00,1075,Entregado,KTM,Z650,Jose Ramirez,Cliente_273,Normal
123,4650,3408,ajuste tecnico de diferencial y motor y verificacion completa.,Finalizado,2026-03-08 00:00:00,2026-03-09 00:00:00,1355,Entregado,Suzuki,GSX-R750,Carlos Mendoza,Cliente_419,Normal
124,4381,3015,diagnostico y reparacion de inspeccion y ruido y verificacion completa.,Finalizado,2026-03-23 00:00:00,2026-03-25 00:00:00,3473,Cliente informado,Italika,XR150L,Jose Ramirez,Cliente_341,Normal
125,15,3767,revision completa de radiador y motor y verificacion completa.,Finalizado,2026-03-20 00:00:00,2026-03-22 00:00:00,3390,Cliente informado,Yamaha,GSX-R750,Jose Ramirez,Cliente_237,Normal
126,2004,936,instalacion y calibracion de cambio de aceite y cambio de aceite por falla detectada.,Finalizado,2026-03-14 00:00:00,2026-03-14 00:00:00,3314,Entregado,Bajaj,R15,Jose Ramirez,Cliente_293,Normal
127,4623,3398,correccion especializada de evaluacion y escaneo para mejorar rendimiento.,Finalizado,2026-03-14 00:00:00,2026-03-04 00:00:00,4788,Cliente informado,AKT,NKD 125,Carlos Mendoza,Cliente_238,Normal
